ID#,Marca,Modelo,Versión,Potencia (cv),Puertas,Combustible,CO2,Precio (€),Tracción,Transmisión,Emisiones CO2 (gr/km),Autonomía (km),Consumo (l/100km),Garantía (meses),Motor (cc),Capacidad depósito (lts),N° marchas,Velocidad Máxima (km/h),Aceleración (0-100 km) (s),Revoluciones Potencia Máxima (rpm),Par motor (Nm),Carrocería,Peso (kg),Largo (mm),Ancho (mm),Alto (mm)
33,Alfa Romeo,Stelvio,2.2 Sprint RWD 190 Aut.,190,5.0,Diésel,ambar,41617.0,Tracción trasera,Automática secuencial ,138.0,1115.4,5.2,0.0,2143.0,58.0,8,210.0,7.6,3500.0,450.0,Todo Terreno ,1660.0,4687.0,1903.0,1632.0
34,Alfa Romeo,Stelvio,2.0 Sprint Q4 Aut. 200,200,5.0,Gasolina,ambar,43478.0,Tracción total,Automática secuencial ,160.0,914.3,7.0,0.0,1995.0,64.0,8,215.0,7.2,4500.0,330.0,Todo Terreno ,1660.0,4687.0,1903.0,1632.0
35,Alfa Romeo,Stelvio,2.2 Sprint Q4 190 Aut.,190,5.0,Diésel,ambar,44038.0,Tracción total,Automática secuencial ,146.0,1035.7,5.6,0.0,2143.0,58.0,8,210.0,7.6,3500.0,450.0,Todo Terreno ,1745.0,4687.0,1903.0,1632.0
36,Alfa Romeo,Stelvio,2.2 Veloce Q4 210 Aut.,210,5.0,Diésel,ambar,47645.0,Tracción total,Automática secuencial ,146.0,1035.7,5.6,0.0,2143.0,58.0,8,215.0,6.6,3500.0,470.0,Todo Terreno ,1745.0,4687.0,1903.0,1632.0
37,Alfa Romeo,Stelvio,2.2 TI Q4 210 Aut.,210,5.0,Diésel,ambar,48261.0,Tracción total,Automática secuencial ,146.0,1035.7,5.6,0.0,2143.0,58.0,8,215.0,6.6,3500.0,470.0,Todo Terreno ,1745.0,4687.0,1903.0,1632.0
38,Alfa Romeo,Stelvio,2.0 Veloce Q4 Aut. 280,280,5.0,Gasolina,ambar,50762.0,Tracción total,Automática secuencial ,158.0,914.3,7.0,0.0,1995.0,64.0,8,230.0,5.7,5250.0,400.0,Todo Terreno ,1660.0,4687.0,1903.0,1632.0
39,Alfa Romeo,Stelvio,2.0 TI Q4 Aut. 280,280,5.0,Gasolina,ambar,51378.0,Tracción total,Automática secuencial ,158.0,914.3,7.0,0.0,1995.0,64.0,8,230.0,5.7,5250.0,400.0,Todo Terreno ,1660.0,4687.0,1903.0,1632.0
40,Alfa Romeo,Stelvio,2.9 Bi-Turbo Q4 Quadrifoglio AT8,510,5.0,Gasolina,gris,113099.0,Tracción total,Automática secuencial ,222.0,653.1,9.8,0.0,2891.0,64.0,8,283.0,3.8,6500.0,600.0,Todo Terreno ,1830.0,4687.0,1903.0,1671.0
41,Aston Martin,DB11,4.0 510,510,2.0,Gasolina,gris,214120.0,Tracción trasera,Automática secuencial ,230.0,787.9,9.9,36.0,3982.0,78.0,8,300.0,3.9,6000.0,675.0,Coupe ,1770.0,4739.0,1940.0,1279.0
42,Aston Martin,DB11,Volante 4.0 510,510,2.0,Gasolina,gris,231573.0,Tracción trasera,Automática secuencial ,230.0,787.9,9.9,36.0,3982.0,78.0,8,300.0,4.1,6000.0,685.0,Convertible ,1842.5,4739.0,1940.0,1279.0
43,Aston Martin,DB11,5.2 608,608,2.0,Gasolina,gris,254389.0,Tracción trasera,Automática secuencial ,265.0,684.2,11.4,36.0,5200.0,78.0,8,322.0,3.9,6500.0,700.0,Coupe ,1770.0,4739.0,1940.0,1279.0
44,Aston Martin,DBS,Superleggera,725,2.0,Gasolina,gris,320760.0,Tracción trasera,Automática secuencial ,285.0,738.8,12.3,24.0,5204.0,78.4,8,339.0,3.4,6500.0,900.0,Coupe ,1770.0,4712.0,1968.0,1280.0
45,Aston Martin,DBS,Superleggera Volante,725,2.0,Gasolina,gris,337871.0,Tracción trasera,Automática secuencial ,295.0,738.8,12.3,24.0,5204.0,78.4,8,340.0,3.6,6500.0,900.0,Coupe ,1870.0,4715.0,1970.0,1295.0
46,Aston Martin,DBX,4.0 AWD Aut.,550,5.0,Gasolina,gris,221015.0,Tracción total,Automática secuencial ,269.0,738.8,0.0,24.0,3982.0,85.0,9,291.0,4.5,6500.0,700.0,Todo Terreno ,2245.0,5039.0,1998.0,1680.0
47,Aston Martin,Vantage,,510,2.0,Gasolina,gris,170882.0,Tracción trasera,Automática secuencial ,245.0,695.2,10.5,36.0,3982.0,73.0,8,314.0,3.7,6000.0,685.0,Coupe ,1630.0,4465.0,1942.0,1273.0
48,Audi,A1,Sportback 25 TFSI,95,5.0,Gasolina,verde,21182.0,Tracción delantera,Manual ,107.0,869.6,4.6,24.0,999.0,40.0,5,191.0,10.8,5000.0,175.0,Berlina ,1165.0,4030.0,1740.0,1410.0
49,Audi,A1,Sportback 30 TFSI,116,5.0,Gasolina,verde,22392.0,Tracción delantera,Manual ,109.0,833.3,4.8,24.0,999.0,40.0,6,203.0,9.5,5000.0,200.0,Berlina ,1180.0,4030.0,1740.0,1410.0
50,Audi,A1,Sportback 25 TFSI Advanced,95,5.0,Gasolina,verde,22586.0,Tracción delantera,Manual ,107.0,869.6,4.6,24.0,999.0,40.0,5,191.0,10.8,5000.0,175.0,Berlina ,1165.0,4030.0,1740.0,1410.0
51,Audi,A1,Sportback 30 TFSI Advanced,116,5.0,Gasolina,verde,23796.0,Tracción delantera,Manual ,111.0,833.3,4.8,24.0,999.0,40.0,6,203.0,9.5,5000.0,200.0,Berlina ,1180.0,4030.0,1740.0,1410.0
52,Audi,A1,Sportback 25 TFSI S line,95,5.0,Gasolina,verde,23889.0,Tracción delantera,Manual ,107.0,869.6,4.6,24.0,999.0,40.0,5,191.0,10.8,5000.0,175.0,Berlina ,1165.0,4030.0,1740.0,1410.0
53,Audi,A1,Sportback 30 TFSI S tronic,116,5.0,Gasolina,verde,24272.0,Tracción delantera,Automática secuencial ,111.0,833.3,4.8,24.0,999.0,40.0,7,203.0,9.4,5000.0,200.0,Berlina ,1200.0,4030.0,1740.0,1410.0
54,Audi,A1,Sportback 30 TFSI S line,116,5.0,Gasolina,verde,25099.0,Tracción delantera,Manual ,111.0,816.3,4.9,24.0,999.0,40.0,6,203.0,9.5,5000.0,200.0,Berlina ,1180.0,4030.0,1740.0,1410.0
55,Audi,A1,Sportback 25 TFSI Black line,95,5.0,Gasolina,verde,25156.0,Tracción delantera,Manual ,107.0,869.6,4.6,24.0,999.0,40.0,5,191.0,10.8,5000.0,175.0,Berlina ,1165.0,4030.0,1740.0,1410.0
56,Audi,A1,Sportback 30 TFSI Advanced S tronic,116,5.0,Gasolina,verde,25676.0,Tracción delantera,Automática secuencial ,112.0,833.3,4.8,24.0,999.0,40.0,7,203.0,9.4,5000.0,200.0,Berlina ,1200.0,4030.0,1740.0,1410.0
