ID#,Marca,Potencia (cv),Puertas,Combustible,CO2,Precio (€),Tracción,Transmisión,Emisiones CO2 (gr/km),Autonomía (km),Consumo (l/100km),Garantía (meses),Motor (cc),Capacidad depósito (lts),N° marchas,Velocidad Máxima (km/h),Aceleración (0-100 km) (s),Revoluciones Potencia Máxima (rpm),Par motor (Nm),Carrocería,Peso (kg),Largo (mm),Ancho (mm),Alto (mm)
54,Audi,-0.6479104084371085,5.0,Gasolina,verde,-0.45197015131080565,Tracción delantera,Manual ,-0.5498833687426277,-0.7726340149060816,-0.3398414020259722,24.0,-1.2209919986292688,-1.492438109826357,-0.3175378495990514,0.07827552576394461,-0.049038934390202675,0.5050752713154586,-0.9428209110623769,Berlina ,-1.2993209559120849,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
55,Audi,-0.8712499063191799,5.0,Gasolina,verde,-0.45008624471534225,Tracción delantera,Manual ,-0.6352560529387206,-0.64122093881598,-0.4920794863037185,24.0,-1.2209919986292688,-1.492438109826357,-0.9532167741953288,-0.30057502955452475,0.46128672280875577,0.5050752713154586,-1.127660984712059,Berlina ,-1.3440522749093868,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
56,Audi,-0.6479104084371085,5.0,Gasolina,verde,-0.43289972840585156,Tracción delantera,Automática secuencial ,-0.5285401976936044,-0.7307199005809085,-0.39058743011855446,24.0,-1.2209919986292688,-1.492438109826357,0.31814107499722605,0.07827552576394461,-0.08829475417473778,0.5050752713154586,-0.9428209110623769,Berlina ,-1.2396791972490158,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
57,Audi,-0.28631312615185006,5.0,Gasolina,verde,-0.424108164293689,Tracción delantera,Automática secuencial ,-0.4218243424484882,-0.8128222539355122,-0.2890953739333904,24.0,-0.5092628432126606,-1.492438109826357,0.31814107499722605,0.6781222383515211,-0.755643690511837,0.5050752713154586,-0.5731407637630128,Berlina ,-1.2993209559120849,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
58,Audi,-0.8712499063191799,5.0,Gasolina,verde,-0.4152174472028179,Tracción delantera,Manual ,-0.6352560529387206,-0.64122093881598,-0.4920794863037185,24.0,-1.2209919986292688,-1.492438109826357,-0.9532167741953288,-0.30057502955452475,0.46128672280875577,0.5050752713154586,-1.127660984712059,Berlina ,-1.3440522749093868,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
59,Audi,-0.6479104084371085,5.0,Gasolina,verde,-0.41009454330287354,Tracción delantera,Manual ,-0.5498833687426277,-0.7726340149060816,-0.3398414020259722,24.0,-1.2209919986292688,-1.492438109826357,-0.3175378495990514,0.07827552576394461,-0.049038934390202675,0.5050752713154586,-0.9428209110623769,Berlina ,-1.2993209559120849,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
60,Audi,-0.6479104084371085,5.0,Gasolina,verde,-0.3898342846534163,Tracción delantera,Automática secuencial ,-0.5285401976936044,-0.7307199005809085,-0.39058743011855446,24.0,-1.2209919986292688,-1.492438109826357,0.31814107499722605,0.07827552576394461,-0.08829475417473778,0.5050752713154586,-0.9428209110623769,Berlina ,-1.2396791972490158,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
61,Audi,-0.28631312615185006,5.0,Gasolina,verde,-0.3777045702580642,Tracción delantera,Automática secuencial ,-0.4218243424484882,-0.8128222539355122,-0.2890953739333904,24.0,-0.5092628432126606,-1.492438109826357,0.31814107499722605,0.6781222383515211,-0.755643690511837,0.5050752713154586,-0.5731407637630128,Berlina ,-1.2993209559120849,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
62,Audi,-0.6479104084371085,5.0,Gasolina,verde,-0.3752257457903492,Tracción delantera,Manual ,-0.5498833687426277,-0.7307199005809085,-0.39058743011855446,24.0,-1.2209919986292688,-1.492438109826357,-0.3175378495990514,0.07827552576394461,-0.049038934390202675,0.5050752713154586,-0.9428209110623769,Berlina ,-1.2993209559120849,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
63,Audi,-0.6479104084371085,5.0,Gasolina,verde,-0.3479586766454842,Tracción delantera,Automática secuencial ,-0.5285401976936044,-0.7307199005809085,-0.39058743011855446,24.0,-1.2209919986292688,-1.492438109826357,0.31814107499722605,0.07827552576394461,-0.08829475417473778,0.5050752713154586,-0.9428209110623769,Berlina ,-1.2396791972490158,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
64,Audi,-0.28631312615185006,5.0,Gasolina,verde,-0.3346391265056289,Tracción delantera,Automática secuencial ,-0.4218243424484882,-0.8128222539355122,-0.2890953739333904,24.0,-0.5092628432126606,-1.492438109826357,0.31814107499722605,0.6781222383515211,-0.755643690511837,0.5050752713154586,-0.5731407637630128,Berlina ,-1.2993209559120849,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
65,Audi,-0.6479104084371085,5.0,Gasolina,verde,-0.3085618931052671,Tracción delantera,Automática secuencial ,-0.5285401976936044,-0.7307199005809085,-0.39058743011855446,24.0,-1.2209919986292688,-1.492438109826357,0.31814107499722605,0.07827552576394461,-0.08829475417473778,0.5050752713154586,-0.9428209110623769,Berlina ,-1.2396791972490158,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
66,Audi,-0.28631312615185006,5.0,Gasolina,verde,-0.29276351849769683,Tracción delantera,Automática secuencial ,-0.4218243424484882,-0.8128222539355122,-0.2890953739333904,24.0,-0.5092628432126606,-1.492438109826357,0.31814107499722605,0.6781222383515211,-0.755643690511837,0.5050752713154586,-0.5731407637630128,Berlina ,-1.2993209559120849,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
67,Audi,0.24544758309117706,5.0,Gasolina,ambar,-0.15365188936953095,Tracción delantera,Automática secuencial ,-0.01630409251704669,-1.1414782209676047,0.21836490699242941,24.0,0.18392427007886575,-1.492438109826357,0.31814107499722605,1.0885436732798628,-1.22671352792626,-0.10071458850719864,-0.055588557543903114,Berlina ,-1.2993209559120849,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
68,Audi,0.24544758309117706,5.0,Gasolina,ambar,-0.12119581433891585,Tracción delantera,Automática secuencial ,-0.01630409251704669,-1.1414782209676047,0.21836490699242941,24.0,0.18392427007886575,-1.492438109826357,0.31814107499722605,1.0885436732798628,-1.22671352792626,-0.10071458850719864,-0.055588557543903114,Berlina ,-1.2993209559120849,-1.343165944873008,-1.3491706151707836,-0.9361352951505414
69,Audi,-0.8712499063191799,5.0,Gasolina,verde,-0.46717360804612434,Tracción delantera,Manual ,-0.3791380003504417,-0.8887607669481786,-0.18760331774822636,24.0,-1.2209919986292688,-1.492438109826357,-0.9532167741953288,-0.4268585479940145,0.6183100019468961,0.5050752713154586,-1.127660984712059,Todo Terreno ,-1.2247687575832484,-1.310065850801137,-1.1910970273044723,-0.6690591832033345
70,Audi,-0.6479104084371085,5.0,Gasolina,verde,-0.42718190663365563,Tracción delantera,Manual ,-0.400481171399465,-0.8887607669481786,-0.18760331774822636,24.0,-1.2209919986292688,-1.492438109826357,-0.3175378495990514,-0.07957887228541762,0.10798434474793843,0.5050752713154586,-0.9428209110623769,Todo Terreno ,-1.1949478782517138,-1.310065850801137,-1.1910970273044723,-0.6690591832033345
71,Audi,-0.8712499063191799,5.0,Gasolina,verde,-0.40315383479327155,Tracción delantera,Manual ,-0.3791380003504417,-0.8887607669481786,-0.18760331774822636,24.0,-1.2209919986292688,-1.492438109826357,-0.9532167741953288,-0.4268585479940145,0.6183100019468961,0.5050752713154586,-1.127660984712059,Todo Terreno ,-1.2247687575832484,-1.310065850801137,-1.1910970273044723,-0.6690591832033345
72,Audi,-0.28631312615185006,5.0,Gasolina,verde,-0.37198674848586827,Tracción delantera,Manual ,-0.3577948293014185,-0.9245110409314146,-0.13685728965564456,24.0,-0.5092628432126606,-1.492438109826357,-0.3175378495990514,0.6149804791317761,-0.5593645915891611,0.5050752713154586,-0.5731407637630128,Todo Terreno ,-1.016022602262506,-1.310065850801137,-1.1910970273044723,-0.6690591832033345
73,Audi,-0.6479104084371085,5.0,Gasolina,verde,-0.3650460399762663,Tracción delantera,Automática secuencial ,-0.4218243424484882,-0.851531171282878,-0.2383493458408086,24.0,-1.2209919986292688,-1.492438109826357,0.31814107499722605,-0.07957887228541762,0.10798434474793843,0.5050752713154586,-0.9428209110623769,Todo Terreno ,-1.10548524025711,-1.310065850801137,-1.1910970273044723,-0.6690591832033345
74,Audi,-0.6479104084371085,5.0,Gasolina,verde,-0.36316213338080283,Tracción delantera,Manual ,-0.3791380003504417,-0.8887607669481786,-0.18760331774822636,24.0,-1.2209919986292688,-1.492438109826357,-0.3175378495990514,-0.07957887228541762,0.10798434474793843,0.5050752713154586,-0.9428209110623769,Todo Terreno ,-1.1949478782517138,-1.310065850801137,-1.1910970273044723,-0.6690591832033345
75,Audi,-0.6479104084371085,5.0,Gasolina,ambar,-0.3316645371443709,Tracción delantera,Manual ,-0.31510848720337203,-0.9590285468462629,-0.0861112615630623,24.0,-1.2209919986292688,-1.492438109826357,-0.3175378495990514,-0.07957887228541762,0.10798434474793843,0.5050752713154586,-0.9428209110623769,Todo Terreno ,-1.1949478782517138,-1.310065850801137,-1.1910970273044723,-0.6690591832033345
