ID#,Potencia (cv),Puertas,Precio (€),Emisiones CO2 (gr/km),Autonomía (km),Consumo (l/100km),Garantía (meses),Motor (cc),Capacidad depósito (lts),N° marchas,Velocidad Máxima (km/h),Aceleración (0-100 km) (s),Revoluciones Potencia Máxima (rpm),Par motor (Nm),Peso (kg),Largo (mm),Ancho (mm),Alto (mm),Marca_Alfa Romeo,Marca_Audi,Marca_Bmw,Marca_Citroen,Marca_Cupra,Marca_Dacia,Marca_Ds,Marca_Fiat,Marca_Ford,Marca_Honda,Marca_Hyundai,Marca_Jaguar,Marca_Jeep,Marca_Kia,Marca_Land Rover,Marca_Lexus,Marca_Mazda,Marca_Mercedes,Marca_Mini,Marca_Mitsubishi,Marca_Morgan,Marca_Nissan,Marca_Opel,Marca_Peugeot,Marca_Porsche,Marca_Renault,Marca_Seat,Marca_Skoda,Marca_Subaru,Marca_Suzuki,Marca_Toyota,Marca_Volkswagen,Marca_Volvo,Combustible_Diésel,Combustible_Gasolina,Combustible_Híbrido,CO2_gris,CO2_rojo,CO2_verde,Tracción_Tracción total,Tracción_Tracción trasera,Transmisión_Automática continua ,"Transmisión_Automática continua, secuencial ",Transmisión_Automática secuencial ,Transmisión_Manual ,Transmisión_Manual automatizada ,Transmisión_Manual con subgrupos ,Carrocería_Bus ,Carrocería_Chasis ,Carrocería_Chasis Doble Cabina ,Carrocería_Combi ,Carrocería_Convertible ,Carrocería_Coupe ,Carrocería_Furgon ,Carrocería_Monovolumen ,Carrocería_Pick-Up ,Carrocería_Pick-Up Doble Cabina ,Carrocería_Roadster ,Carrocería_Stationwagon ,Carrocería_Todo Terreno 
4553,120,5.0,32317.0,108.0,1650.0,4.0,24.0,1598.0,66.0,7,205.0,11.1,3500.0,250.0,1530.0,4869.0,1864.0,1488.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4554,150,5.0,32317.0,98.0,1692.3,3.9,24.0,1968.0,66.0,6,221.0,9.1,3500.0,400.0,1555.0,4869.0,1864.0,1488.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4555,190,5.0,32505.0,129.0,1609.8,4.1,24.0,1968.0,66.0,7,232.0,8.0,3500.0,400.0,1665.0,4869.0,1864.0,1488.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4556,190,5.0,32811.0,132.0,1294.1,5.1,24.0,1968.0,66.0,7,223.0,8.1,3500.0,400.0,1687.0,4862.0,1864.0,1496.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4557,150,5.0,32820.0,104.0,1650.0,4.0,24.0,1968.0,66.0,7,212.0,9.2,3500.0,400.0,1597.0,4862.0,1864.0,1496.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4558,150,5.0,32903.0,123.0,1200.0,5.5,24.0,1498.0,66.0,7,212.0,9.3,5000.0,250.0,1492.0,4862.0,1864.0,1496.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4630,200,2.0,29986.0,180.0,641.0,7.8,36.0,1998.0,50.0,6,226.0,7.6,7000.0,205.0,1318.0,4240.0,1775.0,1320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4631,200,2.0,31652.0,180.0,641.0,7.8,36.0,1998.0,50.0,6,226.0,7.6,7000.0,205.0,1318.0,4240.0,1775.0,1320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4632,200,2.0,31652.0,180.0,641.0,7.8,36.0,1998.0,50.0,6,226.0,7.6,7000.0,205.0,1318.0,4240.0,1775.0,1320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4633,150,5.0,30036.0,150.0,923.1,6.5,0.0,1996.0,60.0,6,192.0,11.8,5600.0,195.0,1502.0,4625.0,1815.0,1730.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4634,150,5.0,32682.0,150.0,923.1,6.5,0.0,1996.0,60.0,6,192.0,11.8,5600.0,195.0,1502.0,4625.0,1815.0,1730.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4635,150,5.0,34152.0,150.0,923.1,6.5,0.0,1996.0,60.0,6,192.0,11.8,5600.0,195.0,1502.0,4625.0,1815.0,1730.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4636,114,5.0,17741.0,140.0,806.5,6.2,36.0,1600.0,50.0,7,180.0,12.4,6200.0,150.0,1358.0,4460.0,1775.0,1480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4637,114,5.0,18997.0,140.0,806.5,6.2,36.0,1600.0,50.0,7,180.0,12.4,6200.0,150.0,1358.0,4460.0,1775.0,1480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4638,114,5.0,20828.0,145.0,781.3,6.4,36.0,1600.0,50.0,7,180.0,12.4,6200.0,150.0,1376.0,4460.0,1775.0,1480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
